fajl,godina,mjesec_kraja,zemlja,dolasci,nocenja,struktura_%,prosjecan_boravak
TUR_02_2022_12.pdf,2022,12,Island,198.0,460.0,0.0,2.3
TUR_02_2022_12.pdf,2022,12,Italija,22049.0,47047.0,2.4,2.1
TUR_02_2022_12.pdf,2022,12,Kipar,517.0,941.0,0.0,1.8
TUR_02_2022_12.pdf,2022,12,Latvija,543.0,1039.0,0.1,1.9
TUR_02_2022_12.pdf,2022,12,Litvanija,1548.0,2991.0,0.2,1.9
TUR_02_2022_12.pdf,2022,12,Luksemburg,1196.0,2642.0,0.1,2.2
TUR_02_2022_12.pdf,2022,12,Mađarska,13483.0,29417.0,1.5,2.2
TUR_02_2022_12.pdf,2022,12,Malta,383.0,766.0,0.0,2.0
TUR_02_2022_12.pdf,2022,12,Norveška,4065.0,8342.0,0.4,2.1
TUR_02_2022_12.pdf,2022,12,Njemačka,47034.0,104438.0,5.3,2.2
TUR_02_2022_12.pdf,2022,12,Poljska,22305.0,51571.0,2.6,2.3
TUR_02_2022_12.pdf,2022,12,Portugal,2379.0,5810.0,0.3,2.4
TUR_02_2022_12.pdf,2022,12,Rumunija,5226.0,11163.0,0.6,2.1
TUR_02_2022_12.pdf,2022,12,Rusija,6598.0,12817.0,0.6,1.9
TUR_02_2022_12.pdf,2022,12,Sjeverna Makedonija,9614.0,19679.0,1.0,2.0
TUR_02_2022_12.pdf,2022,12,Slovačka,3871.0,8617.0,0.4,2.2
TUR_02_2022_12.pdf,2022,12,Slovenija,61943.0,122027.0,6.1,2.0
TUR_02_2022_12.pdf,2022,12,Srbija,141919.0,287695.0,14.5,2.0
TUR_02_2022_12.pdf,2022,12,Španija,8642.0,20957.0,1.1,2.4
TUR_02_2022_12.pdf,2022,12,Švicarska,13067.0,27316.0,1.4,2.1
TUR_02_2022_12.pdf,2022,12,Švedska,11830.0,27053.0,1.4,2.3
TUR_02_2022_12.pdf,2022,12,Turska,62392.0,99101.0,5.0,1.6
TUR_02_2022_12.pdf,2022,12,Ujedinjeno Kraljevstvo,11335.0,27087.0,1.4,2.4
TUR_02_2022_12.pdf,2022,12,Ukrajina,2117.0,5101.0,0.3,2.4
TUR_02_2022_12.pdf,2022,12,Egipat,728.0,2156.0,0.1,3.0
TUR_02_2022_12.pdf,2022,12,Južnoafrička Republika,394.0,745.0,0.0,1.9
TUR_02_2022_12.pdf,2022,12,Kanada,4370.0,10003.0,0.5,2.3
